Title,Duration
Elles,1h 37Minutes
Ellie & Abbie (& Ellie's Dead Aunt),1h 20Minutes
Embrace Of The Serpent,2h 4Minutes
End Of The Century,1h 24Minutes
Endless Poetry,2h 4Minutes
Enemy,1h 30Minutes
The Enigma Of Kaspar Hauser,1h 50Minutes
Ennio,2h 36Minutes
Enys Men,1h 36Minutes
EO,1h 28Minutes
Epidemic,1h 42Minutes
Eric Ravilious: Drawn to War,1h 28Minutes
The Escape,1h 41Minutes
Escape From Mogadishu,2h 1Minutes
Escher: Journey Into Infinity,1h 20Minutes
Essential Killing,1h 25Minutes
Eternal Beauty,1h 35Minutes
Être Et Avoir,1h 44Minutes
Europa (1992),1h 54Minutes
Europa (2022),1h 12Minutes
The Europeans,1h 30Minutes
Every Thing Will Be Fine,1h 58Minutes
Everything Everywhere All at Once,2h 19Minutes
Everything Went Fine,1h 53Minutes
The Exception,1h 55Minutes
Ex Libris: The New York Public Library,3h 17Minutes
Exhibition,1h 28Minutes
EXHIBITION ON SCREEN: Hopper,1h 30Minutes
EXHIBITION ON SCREEN: Klimt & the Kiss,1h 30Minutes
EXHIBITION ON SCREEN: Mary Cassatt: Painting The Modern Woman,1h 34Minutes
EXHIBITION ON SCREEN: Tokyo Stories,1h 30Minutes
EXHIBITION ON SCREEN: Vermeer: The Greatest Exhibition,1h 33Minutes
Exit Through The Gift Shop,1h 24Minutes
The Exorcist,2h 3Minutes
Exotica,1h 43Minutes
Exposing Muybridge,1h 28Minutes
Eye of the Storm,1h 18Minutes
Fallen Leaves,1h 31Minutes
Faces Places,1h 29Minutes
Fadia’s Tree,1h 26Minutes
Fading Gigolo,1h 30Minutes
Fahrenheit 11/9,2h 8Minutes
Fall,1h 47Minutes
"Family Romance, Llc",1h 29Minutes
Family Viewing,1h 26Minutes
Fanny Lye Deliver'd,1h 52Minutes
Fanny And Alexander,3h 9Minutes
Fanny: The Other Mendelssohn,1h 33Minutes
A Fantastic Woman,1h 41Minutes
"Faraway, So Close!",2h 24Minutes
The Father,1h 36Minutes
Father Of My Children,1h 50Minutes
Faya Dayi,2h 0Minutes
The Feast,1h 33Minutes
Femme,1h 39Minutes
Ferrante Fever,1h 14Minutes
The Fever,1h 34Minutes
A Field In England,1h 30Minutes
Fighting With My Family,1h 47Minutes
Fill The Void,1h 30Minutes
Film Stars Don't Die In Liverpool,1h 41Minutes
Filth,1h 37Minutes
The Final Year,1h 29Minutes
Finding Vivian Maier,1h 23Minutes
Fire At Sea,1h 48Minutes
Fire Over England,1h 32Minutes
Fire Will Come,1h 25Minutes
The Fire Within,1h 44Minutes
The Firemen's Ball,1h 10Minutes
First Love,1h 48Minutes
The First Monday In May,1h 31Minutes
First Position,1h 35Minutes
Fish Tank,2h 3Minutes
Fitzcarraldo,2h 30Minutes
The Five Devils,1h 36Minutes
The Five Obstructions,1h 31Minutes
The Flavour Of Green Tea Over Rice,1h 56Minutes
Flee,1h 30Minutes
Florence Foster Jenkins,1h 48Minutes
The Florida Project,1h 47Minutes
Flux Gourmet,1h 51Minutes
Force Majeure,1h 59Minutes
A Forgotten Man,1h 28Minutes
Foxtrot,1h 48Minutes
Frances Ha,1h 24Minutes
Francofonia,1h 25Minutes
Frank,1h 35Minutes
Frankie,1h 40Minutes
Frantz,1h 54Minutes
Foxfire,2h 23Minutes
Freakscene: The Story of Dinosaur Jr.,1h 22Minutes
Free Chol Soo Lee,1h 26Minutes
Free Fire,1h 30Minutes
Free Men,1h 39Minutes
Free Money,1h 14Minutes
Fremont,1h 32Minutes
Frida Kahlo,1h 30Minutes
Frontier Blues,1h 35Minutes
Fruitvale Station,1h 25Minutes
Full Time,1h 28Minutes
Funny Games,1h 48Minutes
Funny Games (2007),1h 49Minutes
Funny Pages,1h 26Minutes
Futura,1h 45Minutes
Futuro Beach,1h 47Minutes
Girl (2023),1h 27Minutes
Give Me Pity!,1h 20Minutes
Golda,1h 40Minutes
The Great Escaper,1h 36Minutes
Gagarine,1h 35Minutes
The General,1h 19Minutes
Generation Wealth,1h 48Minutes
Ghost Stories,1h 36Minutes
Ghost World,1h 51Minutes
The Giants,1h 25Minutes
The Gift,1h 45Minutes
Gimme Danger,1h 49Minutes
Ginger & Rosa,1h 30Minutes
Girl (2019),1h 41Minutes
Girlhood,1h 53Minutes
Girls Girls Girls,1h 41Minutes
A Girl Walks Home Alone at Night,1h 41Minutes
The Girl With A Bracelet,1h 35Minutes
Gitarrmongot,1h 29Minutes
The Gleaners And I,1h 22Minutes
A Glitch In The Matrix,1h 48Minutes
Gloria Bell,1h 41Minutes
The Goalkeeper's Fear of the Penalty,1h 38Minutes
God's Country,1h 29Minutes
